도서명,저자,카테고리,내용
야누시 코르차크에게 아동 권리를 묻다,"타티아나 치를리나 스파디, 피터 C. 렌","예술, 성장","세계적인 교육 전문가 타티아나 치를리나 스파디와 교육신경과학 연구자 피터 C. 렌을 비롯해 40여 명의 교육학, 교육신경과학, 심리학 연구자들과 현직 교사들의 코르차크에 관한 다양한 연구 성과를 담고 있다."
야생의 숨결 가까이,리처드 메이비,"성장, 공감·다양성",식물학자이자 “영국 최고의 자연 작가”로 꼽히는 리처드 메이비가 야생 속을 거닐며 우울증 치유하고 자연과의 연결을 회복해 나가는 에세이다.
어떤 어른,김소영,"역사, 성장","작가의 일터인 독서교실을 비롯해 세탁소, 동네 식당, 산책로 같은 일상의 공간과 학교, 도서관, 박물관 등 공공장소에서 어린이와 어른이 서로 바라보고 대화하고 스쳐 지나가는 다양한 순간들이 등장한다. 법과 제도, 역사와 문화의 얼굴을 한 어른과 그 울타리 안에서 내일의 어른으로 성장해가는 어린이의 모습도 볼 수 있다."
예술가의 여정,트래비스 엘버러,"예술, 성장","역사상 가장 위대한 화가 31인의 발자취를 따라서! 여행은 예술가들에게 새로운 시각을 제공하고,창작의 위기를 극복하는 계기가 되어준다. 예술가들의 여행 기록을 보면, 여행지에서 만난 문화와 자연, 인간 관계에서 영감을 받아 이를 작품에 반영했다는 사실을 알 수 있다.  예술작품에 대한 통찰력은 물론, 예술과 여행의 교차점에서 새로운 영감을 제공하는 책"
예술경영의 시간,예술경영센터,"예술, 성장",예술 분야 전문가로 구성된 추천위원회가 오랜 기간 예술산업에 이바지해 온 예술경영인 3인을 선정하여 ‘예술경영’ 활동의 관점에서 그들의 삶을 좇은 기록을 엮어 묶은 책이다.
오늘이 내일이면 좋겠다,남유하,"가족·우정, 성장","긴 투병 끝에 마지막 자기 결정권을 행사하기 위해, 아픈 몸으로 8770km를 날아 스위스로 향한 故조순복 님에 대한 기록이다. 동시에 그 선택을 딸로서 또 같은 인간으로서 지켜보고, 동행하고, 한국에 돌아와 그 존엄한 죽음 이후를 맞닥뜨린 소설가 남유하의 이야기이기도 하다."
오십의 태도,정은숙,"성장, 가족·우정","10만 방문자가 공감한 화제의 글이다. 자신을 깨닫는 나이, 오십에 갖춰야 할 꾸준한 삶의 태도와 일상의 즐거움을 말한다. 공자는 나이 오십에는 하늘의 뜻을 알아야 한다고 했지만, 저자는 남은 인생을 잘 살기 위해선 하늘보다는 자신에게 집중하자고 제안한다."
우리 가족을 위한 비폭력대화 수업,이윤정,"가족·우정, 성장",국내 1호 비폭력대화 국제공인 트레이너 이윤정이 펴낸 비폭력대화 입문 & 실천서다. 저자는 비폭력대화법을 통해 소통하고 서로가 연민으로 연결되면 부모와 자녀가 함께 행복해질 수 있다고 말한다. 이 책은 한 엄마가 사춘기 세 아이를 키우며 겪는 갈등과 혼란을 비폭력대화로 실천하며 극복해가는 형식으로 구성되어 있다.
우리는 느리게 사랑하고 있습니다,"김양근, 전성옥","가족·우정, 성장, 공감·다양성","성도, 태어난 곳도 제각각인 열 명 넘는 아이들이 한 가족으로 살아가는 ‘그룹홈’ 가정의 개성 넘치는 일상을 그렸다. 서로 다른 이야기를 품은 아이들로 북적이는 가족의 일상은 여느 집 모습과 다르지 않다. 엄마 아빠를 차지하기 위한 신경전이 있고 싸움과 시기, 질투도 있다. 사랑이 있고 배려와 용서도 있다. 재치 넘치고 따뜻한 목소리로 가득한 책이다."
우리에게 남은 빛,그리스트,"과학·자연, 사회·정의, 상상력",기후소설 세계 공모전 〈2200년을 상상하라: 미래의 조상을 위한 기후 소설〉공모전 1회 수상작들을 엮은 책이다. 가깝고도 먼 미래를 상상하는 열두 편의 소설로 이루어져 있다.
월간 십육일,4·16재단,"성장, 가족·우정","지금 우리가 사랑하는 작가, 뮤지션, 배우, 시인, 정치인, 활동가인 동시에 평범한 시민인 글쓴이들은 ‘4월 16일’을 어떻게 기억하고 있을까? 그들은 해마다 피는 봄꽃에서, 누군가의 가방에 달린 노란 리본에서, 좋아하는 사람과 그리운 사람의 얼굴에서, 반복되는 재난참사에서, 자기 일상과 예술에서도 그날의 기억을 발견한다."
웹소설로 국어 수업,김선민 외,"예술, 성장","웹소설을 제재로 한 창작·문학·고전·진로 수업의 설계 방식을 현실적으로 전달한다. 웹소설이 낯선 동교과 교사들과 함께하는 법, 수업 운영에 도움이 되는 각종 팁도 담겨 있다."
이렇게 중학생이 됩니다,이승미,"가족·우정, 성장",18년 차 베테랑 교사의 6학년 학급운영 에세이. ‘학교종이’ 알림장을 통해 교실 이야기를 나누며 만든 따뜻한 관계를 바탕으로 깊이 있는 배움을 이뤄 낸 이야기다.
이시형의 인생 수업,이시형,"철학, 가족·우정",대한민국을 대표하는 정신과 의사 이시형 박사가 인생 90년을 살아오며 만난 사람과 삶에 관한 이야기이다. 내 삶에는 어떤 사람들이 존재하는가? 앞으로 남은 인생을 잘 꾸려나가기 위해서는 어떻게 해야 할까? 따스하면서도 위트를 잃지 않는 조언과 오랜 삶의 인생훈으로 써 내려간 문장은 하나하나 곱씹을수록 마음에 울림을 전한다.
인공지능 구조 원리 교과서,송경빈,"과학·자연, 가족·우정","인공지능 ICT 정책 담당자가 현장에서 직접 겪은 인공지능에 관한 오해와 궁금증을 상세하게 풀어냈다. 단계별 구성, 풍부한 그림 자료 등을 바탕으로 인공지능의 핵심 개념과 원리를 쉽고 빠르게 익힐 수 있다. 이 책은 경험이 없는 실무 담당자, 일반인, 학생이 인공지능을 올바르게 이해하도록 돕는다."
인생 어휘,이승훈,"철학, 역사",중국 수사학의 권위자이자 다양한 분야의 지식을 넘나드는 ‘르네상스형’ 이야기꾼인 서울시립대학교 중국어문화학과 교수 이승훈이 현대 사회의 화두 32가지 단어를 중심으로 글자의 어원과 그에 얽힌 고전 이야기를 풀어낸 책이다.
자동차 자율주행 기술 교과서,이정원,"과학·자연, 성장","자율주행 메커니즘을 상세히 알아보고, 사회적 영향과 기술적 과제까지 두루 살펴보는 교양서다. 자율주행 시스템의 센서 기술, 인공지능, GPS와 HD MAP 활용, 제어 기술 등을 설명하며 안전 및 보안 요소도 놓치지 않고 소개한다. 또한 윤리적 쟁점과 기술 전망도 다룬다."
작가의 여정,트래비스 엘버러,"성장, 가족·우정","위대한 문학 작품의 원천이 된 작가들의 여행 이야기. 《작가의 여정》은 단순한 기록을 넘어서 문학 비평의 새로운 모습을 보여주는 책이다. 작가의 여행 경로를 표시한 지도, 해당 장소의 사진과 다양한 시각자료, 해당 작가의 일기나 작품 속 인용구를 통해 작가의 여행을 간접 체험할 수 있다. 작가의 삶과 문학, 여행을 잇는 귀중한 연결고리를 탐구하는 작품."
"전시디자인, 미술의 발견",김용주,"예술, 과학·자연","전시의 기획 과정을 세세하게 안내하며, 관객과의 상호작용이 어떻게 전시의 성공과 실패를 좌우하는지 깊게 조명한다. 디자인과 예술 분야의 전문가뿐만 아니라 공간의 경험을 중시하는 모든 이들, 전시의 세계를 깊이 탐구하고 싶은 모든 사람들에게 권한다."
점거당한 집,최수진,"예술, 성장","세 편의 단편이 한 편인 듯 근미래의 사회를 공유하며 흘러간다. 2031년 원전사고 이후 일상을 투쟁하듯 사는 시민이자 예술가들의 이야기가 광주, 용인, 경주를 배경으로 펼쳐진다."
"정의의 길, 세 개의 십자가: 함세웅 평전",김삼웅,"사회·정의, 과학·자연","사제이자 사회운동가로 평생을 살아온 함세웅 신부의 삶의 기록이다. 삼엄한 독재의 70년대, 찬란한 항쟁의 80년대, 좌절과 반성의 90년대 그리고 새로운 모색의 2000년대까지, 그의 이름에 응축되어 있는 이 땅의 현대사가 수많은 자료와 인터뷰를 통해 생생하게 재현한다."
조이 럭 클럽,에이미 탄,"가족·우정, 예술",전쟁으로 험난한 시기에 미국으로 이민 온 엄마들과 미국에서 태어나고 자란 딸들의 이야기이다. 엄마와 나는 닮은 듯하면서도 너무나 다르다. 그런 우리가 서로를 온전히 이해할 수 있을까? 엄마의 소망이 나를 살아가게 하는 힘이 될 수 있을까? 이 책에서 그 실마리를 찾을 수 있다.
중국의 전근대 무슬림 상인들,존 차피,"성장, 가족·우정","8세기 중반~14세기 말, 당나라-명-송-원까지 600년 동안, 중국 남부 항구들은 무슬림 해상 상인들의 안마당이었다. 무슬림 상인들은 서아시아에서 수천 마일 떠나와 해상 무역 디아스포라를 일궜다. 무역 형태는 커뮤니티 구성, 경쟁자, 정착지, 중국 당국과 관계 등 시기별로 다르다. 중국의 해상 아시아 무역에서 이슬람 상인들이 결정적이었음을 밝힌다."
중동 인사이트 세계의 판도가 바뀐다,이세형,"경제, 성장","중동 전문 기자인 저자가 전쟁과 평화의 시선에서 나아가 중동의 절박한 고민까지 생생하게 녹였다. 내전과 테러로 익숙한 이미지를 넘어 색다른 모습을 소개한다. 현재의 중동을 이해하는 데 필요한 소주제로 구성하여 지식과 정보, 현장감 있는 이야기를 담았다."
진로독서 가이드북: 꿈을 키우는 초등학교,전국독서새물결모임 외,"성장, 경제",사회변화가 복잡하고 빨라지면서 직업 세계의 변동 또한 하루가 다르게 심화되고 있다. 이 책은 지난 2013년에 연구 개발 출판한 의 연구 결과를 이어 11년 만에 개편하여 출판하게 된 책이다. 과목과 자유학기제 등 진로교육을 제대로 지도하기 위해 나왔다.
진로독서 가이드북: 삶을 가꾸는 중학교,전국독서새물결모임 외,"성장, 경제, 예술","2022 개정교육과정의 핵심 내용인 행복한 진로교육을 실현하기 위해 현장 교사들의 연구 결과를 모아 기획 출판하게 되었다. 11개 진로영역별로 구분하여 모두 142권의 도서를 엄선하였고, 이 중 대표도서를 영역별 2권씩 선정하여, 1단계 ’책 이야기‘, 2단계 ‘질문하고 토론하고’, 3단계 ‘진로 이야기’로 구성하여 진로독서 활동을 풍부하게 할 수 있도록 설계하였다."
진로독서 가이드북: 리더로 세우는 고등학교,전국독서새물결모임 외,"성장, 예술, 경제",독서기반 진로교육을 위해 한국표준직업분류의 진로 정보와 교과연계 독서교육에 적합한 도서를 선정하여 도서별 진로독서 활동이 가능하도록 디자인하였다. 이 책을 통해 학생들은 직업에 대한 올바른 가치관으로 진로에 대한 다양하고 꼭 필요한 정보를 이 책을 통해 얻을 수 있을 것이다.
책 읽다 절교할 뻔,"구선아, 박훌륭","예술, 성장","책방 주인은 어떤 책을 읽을까? 두 책방지기가 서로에게 책을 소개하며 주고받은 서른여섯 편의 편지를 엮었다. 두 책방지기의 마음을 유난히 설레게 한 책, 왈칵 눈물을 쏟아낸 책, 순식간에 빠져든 책, 온통 밑줄을 치게 만드는 책 등 몸과 마음을 깨치는 책들이 쏟아진다."
철학으로 돌파하라,안광복,"철학, 상상력","가장 오래된 불교 경전인 『숫타니파타』부터 당대 유럽의 젊은 사상가 뤼트허르 브레흐만에 이르기까지 다양한 학문과 사상을 아우르며, 현대인이 직면한 새로운 현실과 불안한 내면을 다각도로 살핀다."
초등공부가 쉬워지는 그림책 수업,그림책사랑교사모임,"예술, 성장","나와 친구, 가족과 이웃, 동물과 사회, 전쟁과 세계 평화, 지구와 자연환경, 미래와 과학 기술 등 1~6학년 교과 핵심 주제 30개를 담은 그림책을 소개한 뒤 아이들 눈높이에 맞게 배경지식을 설명한다. 사고력 향상을 위한 다양한 독후 활동을 제시하는 그림책 활동 안내서이다."
초등학생을 위한 기적의 신체놀이 1학년 2학기 / 2학년 2학기(2권),서은철,"과학·자연, 가족·우정, 성장","본문을 가득 채우는 아기자기 귀엽고 재미있는 250여 가지 그림으로 다채롭게 풀어낸 모습들은 마치 그림책을 보듯 직관적으로 활동 방법을 이해할 수 있게 한다. 아이의 신체 발달을 촉진하고 협동심, 사회적 상호작용을 강화하는 데 중점을 두고 있다. 이 책을 통해 신체활동의 소중함과 즐거움을 만끽할 수 있는 선물 같은 시간을 아이들에게 선사할 수 있길 바란다."
